indicator_id,name,geo_type_name,measure,geo_join_id,data_value
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),401,79.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),402,75.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),403,38
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),404,22.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),405,51.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),406,47.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),407,80
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),408,115.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),409,70.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),410,111.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),501,92
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),502,76.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),503,32.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),504,21
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),101,82.2972765
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),102,139.9197835
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),103,191.4007601
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),104,133.9380656
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),105,214.1413502
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),106,232.5439857
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),107,233.1883706
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),201,43.51844704
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),202,76.92788325
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),203,164.7908194
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),204,141.5831149
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),205,45.54423585
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),206,18.65450617
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),207,102.3744078
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),208,70.94889216
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),209,18.08516144
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),210,29.44657223
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),211,165.2585355
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),301,111.5954116
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),302,253.1391925
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),303,241.3290564
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),304,63.92992627
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),305,24.43933226
